Ticker,STDev 5
SVOL A,0.0
LEO,0.00047405290496638696
IBT B,0.0007153004087181345
KARO,0.001593061149520012
CLA B,0.002774593057749686
ELUX A,0.002976190476190476
VOLO PREF,0.0030588725487422945
ARION SDB,0.0031235648678921498
TIGO SDB,0.003190514187040286
NELLY,0.0034425581049392726
TRAC B,0.0034451332528596034
AAK,0.0037223333683365353
HOFI,0.004080349939471937
SHB B,0.004091382625902194
HLDX,0.0043585438024207925
SWMA,0.004766701642255549
BETS B,0.004853140007161313
ORES,0.005669783533884804
GPG,0.005881584655193909
MTRS,0.0058933190338948185
LUG,0.006005398162598888
ESSITY B,0.006088637712776298
LOOMIS,0.006090883618950204
VBG B,0.006737054827861822
MSON B,0.006980759348255084
G5EN,0.007274577250940618
ELTEL,0.007308231255564857
BRAV,0.007407706728067472
IRLAB A,0.007485446231238113
ABB,0.007538440274543373
ESSITY A,0.0076059035361307065
ALFA,0.007725456020297317
HPOL B,0.007850547704287813
TIETOS,0.007920635187707104
COOR,0.008134402134703409
BILL,0.008273283744319173
EOLU B,0.0087809974445703
INVE B,0.00879550388538723
FOI B,0.009117413516110975
HEXA B,0.009221391216938242
NDA SE,0.009266137864227269
ATCO B,0.009342614457104005
AZN,0.009374940090189065
ENQ,0.009541910359062426
NPAPER,0.009685140639585081
SKF A,0.009783966211279279
INVE A,0.00985651209763369
TEL2 B,0.010198585913322789
TELIA,0.010254843676925657
CLAS B,0.010300323330968883
SYSR,0.010379904767477514
SKA B,0.01042986757049956
CCC,0.010447614765621251
ASSA B,0.010447864270530169
RAY B,0.010502403490410702
ARJO B,0.01057302422675712
ATCO A,0.0105778588780333
STE R,0.010598343223460531
KNOW,0.010826963730660279
SWED A,0.01094955221446523
COIC,0.01099392847276622
WBGR B,0.011043275380389544
BOL,0.011088525411221526
BILI A,0.011160203231449787
SECU B,0.011326581765807415
EAST,0.011414567065670515
MMGR B,0.01143146969021985
KIND SDB,0.011457501012964324
SECT B,0.011494252873563218
PROB,0.011875665773615684
SHB A,0.011984221868800675
ELAN B,0.012074755174436612
LUND B,0.012098916211278803
DUNI,0.012155530620605344
AOI,0.012341272119258851
MEKO,0.012442926115119836
EPRO B,0.012478095462569503
NP3 PREF,0.012496673675133772
VOLV A,0.01265317540172611
IPCO,0.012678575765967407
ATORX,0.012764135592692998
VOLV B,0.01280001651791145
SAAB B,0.013060521984595558
K2A PREF,0.01323754859160903
ANOD B,0.013325463854926532
ACAD,0.013657612037565135
BERG B,0.01369913087269649
SKIS B,0.013812257994941084
INDU C,0.013825641551559268
LUC,0.01390080028346242
ERIC A,0.013902160536229047
CORE PREF,0.014083575804390607
INDU A,0.014140715352173438
FPAR D,0.0141775598179789
TROAX,0.014215090150563093
ERIC B,0.014423210151531541
SCST,0.014446720738056685
EKTA B,0.014608932808157877
SAGA D,0.014808343748591444
EPI A,0.014963995962363493
TREL B,0.015001962793274362
BULTEN,0.015405143334002315
ALIV SDB,0.0156895964647446
ADDT B,0.015721162249572568
BIOG B,0.01582847501771596
SEB A,0.015912657128600256
STEF B,0.015927929291519528
XANO B,0.015944227923343962
PACT,0.015945834566127453
BEIJ B,0.01599954645428581
FAG,0.016008340570568262
SEB C,0.016111971993966585
NCC B,0.016137414662748664
MTG B,0.016164615188649315
NOBI,0.016345541217332
INTRUM,0.01638346068648021
GRNG,0.016484783114148985
RATO B,0.016583728431500338
STE A,0.016695542087374785
PEAB B,0.017197286391313193
GETI B,0.017457749646875145
AXFO,0.01748036729860752
SCA B,0.017510742033272953
IMMNOV,0.01760948963300103
SAND,0.017751441375125243
MCOV B,0.01778354992679935
RATO A,0.017969922098239565
DUST,0.018008521541089773
SOBI,0.018129050108305945
ATRLJ B,0.018229246535614217
BMAX,0.018386215426849782
SSAB B,0.018451171517627398
CAT B,0.018546488339313594
TEL2 A,0.01871057988723193
EPI B,0.0187627663106801
HUSQ A,0.018823046244389182
LIAB,0.018880702958879645
JM,0.01891300116750445
HTRO,0.019008144734518465
SHOT,0.01912743781812179
HUFV A,0.019236673274576857
SAGA A,0.019302122468409177
TETY,0.01945404081853317
LATO B,0.01949061071504231
SBB D,0.020009310217694667
HM B,0.020331815313712504
BOOZT,0.02046989139201102
VITR,0.020772932448011722
DOM,0.020773248271928533
CEVI,0.020806547724111227
THULE,0.02082554655865313
INSTAL,0.020881244739411997
IVSO,0.0210634440609102
MYCR,0.021322899617204134
SCA A,0.021469160692221868
8TRA,0.02161445430364916
RESURS,0.021632235937003315
KAR,0.02175147937620683
SKF B,0.02189309722240041
PLAZ B,0.02192082749779909
QLINEA,0.022008254173120724
ELUX B,0.02245597331220064
INWI,0.0225562343645395
TFBANK,0.022585416229426433
BESQ,0.022889193681227084
ENEA,0.022921316561585473
SAGA B,0.02297795193455228
BTS B,0.02301758215729113
LIFCO B,0.02304570378229116
NYF,0.02305695900142588
PNDX B,0.023099970335626534
VIT B,0.02342439654811866
SWEC B,0.02349198395295038
SSAB A,0.023799747991485046
AQ,0.023821300641569714
HUSQ B,0.02384271779886991
ATT,0.02384391718020261
BETCO,0.024078338531532125
LAGR B,0.024279127347550264
BIOT,0.024395729509058293
BONAV B,0.02448664746510525
VOLO,0.024705261557971342
FPAR A,0.02526832131693388
MIPS,0.025984964806631414
FABG,0.026010070973496124
JOMA,0.02601647463804983
KINV A,0.026282458696414438
MTG A,0.02631578947368421
HOLM B,0.02679811268367083
BALD B,0.026923854121323143
KINV B,0.027088639989012966
EVO,0.027270784995307065
NP3,0.02728397722517949
WIHL,0.027927750570489723
WALL B,0.028239763302879656
LUMI,0.02866220976763184
NOLA B,0.029021236840763763
ALIG,0.029141367351126206
HEBA B,0.029152954569327753
OEM B,0.029317493479196165
CAST,0.02955085842622812
NWG,0.029567025122845318
BONAV A,0.0300290686388378
HOLM A,0.030066517237479686
CRED A,0.030727673591344942
NMAN,0.030821135814867753
HMS,0.0309488458312273
CTM,0.031043725564630253
SAS,0.031223142721211128
SVOL B,0.03126356357858629
NCC A,0.03180797528151071
DIOS,0.03181052262823309
CORE A,0.032125041002983905
NIBE B,0.03305664435335345
EQT,0.03311574702644478
AMBEA,0.03343521789680512
COLL,0.033585283989890045
VNV,0.03385027840003024
CATE,0.034351475283340344
AZA,0.03443195467528893
BUFAB,0.03541080233025511
K2A B,0.03600484810082408
BIOA B,0.037625838770349036
RROS,0.03783952239210651
FING B,0.03832427036809978
CORE B,0.03875472582068172
TOBII,0.038907184901744565
XVIVO,0.038934375590811886
IAR B,0.04012813984337255
CAMX,0.040190972044689126
INDT,0.04176709115537984
ALIF B,0.04220672965728649
HUM,0.04374740239297192
BURE,0.04427916376179815
SBB B,0.04609922367811405
ONCO,0.046752655780927466
READ,0.047950233768021676
CAT A,0.04948716593053935
KFAST B,0.050117059313322894
HNSA,0.05114085017222467
FNM,0.05184645427546481
LUNE,0.054309599475319964
GARO,0.05624061395340836
SWEC A,0.058919001404611995
BEIA B,0.06252425543413237
ORX,0.0640037999421343
NEWA B,0.06484201403160086
SINCH,0.06901671747965608
BHG,0.07770377030611482
MSON A,0.09188942060809117
CALTX,0.15117606777441586
